Jour,Date,Heure,KwH Restant,Achat KwH
Lundi,15-03-2021,8:00,246.48,0
Lundi,15-03-2021,17:00,173.65,0
Mardi,16-03-2021,8:00,96.72,0
Mardi,16-03-2021,16:20,606.75,600
Mercredi,17-03-2021,8:30,526.15,0
Mercredi,17-03-2021,18:02,440.11,0
Jeudi,18-03-2021,8:15,361.67,0
Jeudi,18-03-2021,16:00,279.07,0
Vendredi,19-03-2021,8:30,189.43,0
Vendredi,19-03-2021,18:02,111.04,600
Samedi,20-03-2021,8:00,644.08,0
Lundi,21-03-2021,8:00,487.78,0
Lundi,21-03-2021,18:02,393.88,0
Mardi,22-03-2021,8:00,330.5,0
Mardi,22-03-2021,17:00,243.77,0
Mercredi,24-03-2021,8:00,176.64,0
Mercredi,24-03-2021,16:00,32.04,0
Jeudi,25-03-2021,8:00,3.31,0
Jeudi,25-03-2021,16:00,603.3,600
Vendredi,26-03-2021,8:15,521.68,0
Vendredi,26-03-2021,18:02,439.23,0
Samedi,27-03-2021,8:00,380.11,0
Lundi,29-03-2021,8:06,168.52,0
Lundi,29-03-2021,16:00,80.96,0
Mardi,30-03-2021,8:00,25.66,0
Mardi,30-03-2021,17:00,576.46,600
Mercredi,31-03-2021,8:00,498.52,0
Mercredi,31-03-2021,17:00,429.37,0
Jeudi,01-04-2021,8:00,350.25,0
Jeudi,01-04-2021,13:00,310.14,0
Vendredi,02-04-2021,9:00,232.32,0
Vendredi,02-04-2021,15:30,759.23,600
Samedi,03-04-2021,8:20,682.02,0
Samedi,03-04-2021,12:00,647.09,0
Lundi,05-04-2021,8:00,486.93,0
Mardi,06-04-2021,8:30,397.79,0
Mardi,06-04-2021,16:30,326.96,0
Mercredi,07-04-2021,8:00,260.38,0
Jeudi,08-04-2021,8:00,239.59,0
Jeudi,08-04-2021,16:30,666.11,600
Vendredi,09-04-2021,8:00,597.84,0
Vendredi,09-04-2021,16:00,514.9,0
Samedi,10-04-2021,8:20,435.74,0
Samedi,10-04-2021,14:00,386,0
Lundi,12-04-2021,8:00,210.86,0
Lundi,12-04-2021,16:40,99.76,0
Mardi,13-04-2021,8:00,7.59,0
Mardi,13-04-2021,16:30,584.6,600
Mercredi,14-04-2021,8:00,505.84,0
Mercredi,14-04-2021,16:30,411.6,0
Jeudi,15-04-2021,8:00,321.81,0
Jeudi,15-04-2021,16:00,253.18,0
Vendredi,16-04-2021,8:00,180.21,0
Vendredi,16-04-2021,16:30,106.26,0
Samedi,17-04-2021,8:08,10.52,0
Samedi,17-04-2021,12:30,605.86,600
Lundi,19-04-2021,8:00,388.77,0
Lundi,19-04-2021,17:00,276.02,0
Mardi,20-04-2021,8:00,204.23,0
Mardi,20-04-2021,18:00,27.24,0
Mercredi,21-04-2021,8:00,15.5,0
Mercredi,21-04-2021,14:00,602.17,600
Jeudi,22-04-2021,8:00,486.08,0
Jeudi,22-04-2021,,376.92,0
Vendredi,23-04-2021,8:00,300.55,0
Vendredi,23-04-2021,17:00,287.86,0
Samedi,24-04-2021,8:00,194.77,0
Samedi,24-04-2021,18:02,763.52,600
Lundi,26-04-2021,8:00,531.03,0
Lundi,26-04-2021,16:50,432.07,0
Mardi,27-04-2021,8:00,360.75,0
Mardi,27-04-2021,16:30,268.87,0
Mercredi,28-04-2021,9:50,241.33,0
Mercredi,28-04-2021,18:02,159.19,0
Jeudi,29-04-2021,10:25,108.11,0
Jeudi,29-04-2021,17:00,633.34,600
Vendredi,30-04-2021,8:00,557.12,0
Vendredi,30-04-2021,15:32,495.21,0
Samedi,01-05-2021,10:00,404.97,0
Lundi,03-05-2021,8:20,240.31,0
Lundi,03-05-2021,16:30,154.21,0
Mardi,04-05-2021,8:30,73.53,0
Mardi,04-05-2021,16:45,587.86,600
Mercredi,05-05-2021,8:00,532.25,0
Mercredi,05-05-2021,17:30,442.62,0
Jeudi,06-05-2021,8:00,390.05,0
Jeudi,06-05-2021,17:00,311.67,0
Vendredi,07-05-2021,8:00,239.71,0
Vendredi,07-05-2021,16:30,163.3,0
Samedi,08-05-2021,8:00,92.02,0
Samedi,08-05-2021,16:30,676.12,600
Lundi,10-05-2021,8:00,476.22,0
Lundi,10-05-2021,11:00,376.39,0
Mardi,11-05-2021,8:00,284.12,0
Mardi,11-05-2021,16:42,239.95,0
Mercredi,12-05-2021,8:00,155.43,0
Mercredi,12-05-2021,16:00,104.44,0
Jeudi,13-05-2021,8:00,23.01,0
Jeudi,13-05-2021,14:00,617.51,600
Vendredi,14-05-2021,8:40,506.83,0
Vendredi,14-05-2021,16:00,506.33,0
Samedi,15-05-2021,8:00,429.37,0
Lundi,17-05-2021,8:50,256.1,0
Mardi,18-05-2021,8:20,143.17,0
Mardi,18-05-2021,17:00,132.63,0
Mercredi,19-05-2021,8:33,52.17,0
Jeudi,20-05-2021,8:00,0,600
Jeudi,20-05-2021,18:20,517.94,0
Vendredi,21-05-2021,8:00,457.61,0
Vendredi,21-05-2021,18:02,348.27,0
Samedi,22-05-2021,8:00,283.28,0
Samedi,22-05-2021,14:20,237.58,0
Vendredi,28-05-2021,20:49,0,0
Jeudi,10-06-2021,15:30,600,600
Vendredi,11-06-2021,9:40,503.86,0
Vendredi,11-06-2021,16:00,501.76,0
Samedi,12-06-2021,8:30,420.99,0
Samedi,12-06-2021,13:00,374.63,0
Lundi,14-06-2021,9:00,184.41,0
Mardi,15-06-2021,8:45,98.52,0
Mercredi,16-06-2021,8:45,6.84,0
Vendredi,18-06-2021,17:00,0,600
Samedi,19-06-2021,8:00,536.71,0
Samedi,19-06-2021,12:30,494.44,0
Lundi,21-06-2021,8:10,334.12,0
Lundi,21-06-2021,17:15,247.05,0
Mardi,22-06-2021,8:30,189.28,0
Mardi,22-06-2021,17:00,113.04,0
Mercredi,23-06-2021,10:00,18.84,0
Mercredi,23-06-2021,16:30,618.01,600
Jeudi,24-06-2021,10:00,517.89,0
Jeudi,24-06-2021,18:00,418.66,0
Vendredi,25-06-2021,8:00,358.19,0
Vendredi,25-06-2021,18:02,265.12,0
Samedi,26-06-2021,8:15,188.53,0
Samedi,26-06-2021,12:15,152.91,0
Samedi,26-06-2021,14:30,743.07,600
Lundi,28-06-2021,8:00,582.54,0
Lundi,28-06-2021,16:00,489.4,0
Mardi,29-06-2021,9:30,440.4,0
Mardi,29-06-2021,16:40,327.62,0
Mercredi,30-06-2021,9:30,239.22,0
Mercredi,30-06-2021,15:40,177.83,0
